name,Age,Overall,Potential,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Position,Height,Weight,Release Clause
N. Matić,29,84,84,165K,2100,Left,3,3,3,CDM,6'4,187lbs,44.4M
L. Hrádecký,28,84,84,74K,1132,Right,2,3,1,GK,6'4,187lbs,37.4M
Illarramendi,28,84,84,51K,2097,Right,2,3,4,RDM,5'10,165lbs,65.1M
K. Walker,28,84,84,165K,2175,Right,3,2,2,RB,6'0,154lbs,45.3M
I. Gündoğan,27,84,84,175K,2138,Right,3,4,4,CM,5'11,176lbs,59.2M
José Callejón,31,84,84,105K,2045,Right,3,3,3,RM,5'10,161lbs,46.8M
A. Di María,30,84,84,125K,2113,Left,4,2,5,RM,5'11,152lbs,54.6M
M. Mandžukić,32,84,84,160K,2106,Right,3,3,3,ST,6'3,187lbs,41.3M
Willian,29,84,84,175K,2052,Right,3,4,4,RW,5'9,172lbs,56.4M
Sergio Asenjo,29,84,85,42K,1333,Right,2,3,1,GK,6'2,192lbs,52.2M
E. Banega,30,84,84,31K,2133,Right,3,4,4,CDM,5'9,157lbs,60.9M
A. Witsel,29,84,84,77K,2200,Right,3,4,4,LCM,6'2,179lbs,40.8M
D. Payet,31,84,84,75K,2053,Right,3,4,4,CAM,5'9,170lbs,52.3M
Jonas,34,84,84,25K,2023,Right,3,5,3,ST,5'11,163lbs,33M
Sokratis,30,84,84,140K,1797,Right,3,2,2,RCB,6'1,187lbs,43.7M
S. Ruffier,31,84,84,41K,1254,Right,3,3,1,GK,6'2,205lbs,36.1M
Falcao,32,84,84,115K,2026,Right,3,4,3,RS,5'10,159lbs,47.5M
K. Schmeichel,31,84,84,78K,1351,Right,2,3,1,GK,6'2,196lbs,36.1M
Raúl Albiol,32,84,84,88K,1765,Right,3,3,2,RCB,6'3,181lbs,30.6M
A. Gómez,30,84,84,53K,2049,Right,3,4,4,LS,5'5,150lbs,51M
A. Barzagli,37,84,84,95K,1740,Right,3,3,2,CB,6'2,192lbs,6.9M
Quaresma,34,84,84,80K,1988,Right,3,4,5,RM,5'9,148lbs,29.5M
A. Robben,34,84,84,110K,2044,Left,4,2,4,RM,5'11,176lbs,25.6M
O. Dembélé,21,83,92,155K,1993,Left,3,5,4,RW,5'10,148lbs,90M
Gabriel Jesus,21,83,92,130K,2051,Right,2,3,4,ST,5'9,161lbs,84.1M
Ronaldo Cabrais,26,83,83,51K,2095,Right,1,4,4,RW,5'10,165lbs,50.4M
Josué Chiamulera,26,83,83,43K,1894,Right,1,3,2,LCB,6'1,176lbs,40.5M
Louri Beretta,26,83,83,60K,1921,Right,1,3,4,ST,6'2,183lbs,54.2M
P. Kimpembe,22,83,89,82K,1899,Left,2,3,3,LCB,6'2,176lbs,62.5M
N. Keïta,23,83,88,120K,2082,Right,2,4,4,CM,5'8,141lbs,67.2M
C. Tolisso,23,83,88,85K,2207,Right,2,3,3,CM,5'11,179lbs,58.7M
T. Lemar,22,83,89,64K,2173,Left,3,2,4,LM,5'7,137lbs,79.9M
K. Coman,22,83,87,85K,1918,Right,2,3,5,LM,5'10,157lbs,58.7M
J. Tah,22,83,88,67K,1673,Right,2,4,2,CB,6'5,214lbs,52.4M
Anderson Talisca,24,83,90,18K,2142,Left,2,4,4,CAM,6'3,176lbs,
T. Werner,22,83,87,70K,1967,Right,3,4,3,RW,5'11,165lbs,61.2M
A. Rabiot,23,83,87,91K,2184,Left,2,3,3,CM,6'4,176lbs,63.5M
L. Goretzka,23,83,88,85K,2203,Right,3,4,3,CM,6'2,174lbs,58.7M
Q. Promes,26,83,84,28K,2056,Right,2,4,5,RM,5'9,159lbs,66.3M
H. Ziyech,25,83,86,28K,2098,Left,3,2,4,RAM,5'11,143lbs,47.9M
Lucas Vázquez,27,83,83,205K,2048,Right,2,4,4,RW,5'8,154lbs,55.4M
Y. Carrasco,24,83,86,20K,2015,Right,3,4,4,LM,5'11,161lbs,73.4M
Gerard Moreno,26,83,85,53K,1967,Left,1,4,4,LS,5'11,170lbs,69.6M
Felipe,29,83,83,22K,1788,Right,3,3,2,RCB,6'3,190lbs,40M
M. Kovačić,24,83,89,165K,2115,Right,3,4,4,LCM,5'9,172lbs,
Kepa,23,83,91,84K,1223,Right,1,4,1,GK,6'1,187lbs,58.4M
Manu Trigueros,26,83,84,49K,2121,Right,2,4,4,RCM,5'10,165lbs,65.3M
S. Gnabry,22,83,88,85K,2041,Right,2,4,4,ST,5'9,165lbs,59.5M
J. Pickford,24,83,88,78K,1435,Left,1,4,1,GK,6'1,170lbs,49.4M
S. Savić,27,83,86,67K,1696,Right,2,3,2,CB,6'2,174lbs,55.3M
J. Stones,24,83,87,125K,1858,Right,2,4,3,RCB,6'2,154lbs,54.9M
Suso,24,83,86,115K,1959,Left,3,3,4,RW,5'9,154lbs,58.6M
J. Draxler,24,83,86,91K,2112,Right,3,5,4,CM,6'2,170lbs,62.6M
Felipe Anderson,25,83,85,110K,2042,Right,3,4,4,LM,5'9,154lbs,62.2M
Lucas Moura,25,83,84,115K,2075,Right,3,3,4,RM,5'9,154lbs,59.7M
Danilo Pereira,26,83,86,21K,2028,Right,3,3,3,CDM,6'2,183lbs,56M
Nacho Fernández,28,83,85,180K,1855,Right,2,4,2,CB,5'11,168lbs,52.1M
T. Horn,25,83,87,25K,1261,Left,2,3,1,GK,6'4,198lbs,37.8M
Allan,27,83,83,87K,2157,Right,2,3,4,RCM,5'9,163lbs,45.1M
F. Acerbi,30,83,83,64K,1849,Left,2,3,3,CB,6'4,194lbs,32.3M
Sergi Roberto,26,83,86,170K,2106,Right,3,3,4,RB,5'10,150lbs,56.3M
Rodrigo,27,83,84,57K,2060,Left,2,3,4,ST,6'0,170lbs,66.3M
Pizzi,28,83,83,22K,2149,Right,3,4,3,LCM,5'10,159lbs,51M
K. Kampl,27,83,83,74K,2076,Right,2,4,3,LCM,5'10,148lbs,45.1M
Neto,28,83,84,41K,1295,Right,2,2,1,GK,6'3,185lbs,45.7M
O. Baumann,28,83,84,42K,1222,Right,2,1,1,GK,6'2,181lbs,37.3M
I. Gueye,28,83,83,125K,2055,Right,2,3,3,RDM,5'9,146lbs,39.9M
H. Mkhitaryan,29,83,83,145K,2100,Right,3,5,4,RM,5'10,165lbs,48.5M
Marcos Alonso,27,83,84,130K,2201,Left,2,3,3,LB,6'2,192lbs,46.2M
D. Subašić,33,83,83,70K,1284,Right,3,2,1,GK,6'3,185lbs,24.7M
K. Glik,30,83,83,86K,1582,Right,3,2,2,RCB,6'3,176lbs,36.1M
K. Strootman,28,83,83,66K,2139,Left,3,3,3,CDM,6'1,176lbs,39.9M
B. Dost,29,83,83,26K,1793,Right,3,3,2,ST,6'5,196lbs,52M
Oscar,26,83,84,29K,2022,Right,3,3,4,LCM,5'10,146lbs,69.4M
M. Balotelli,27,83,83,55K,1914,Right,4,4,4,LS,6'2,194lbs,52.3M
Luiz Gustavo,30,83,83,63K,2025,Left,3,3,3,LCB,6'2,172lbs,36.1M
Giuliano,28,83,83,64K,2073,Right,2,3,4,CAM,5'8,150lbs,44.2M
David Luiz,31,83,83,130K,2074,Right,4,3,3,LCB,6'2,190lbs,32.4M
R. Fährmann,29,83,84,38K,1179,Right,2,1,1,GK,6'6,216lbs,35.5M
Juan Mata,30,83,83,160K,1984,Left,3,3,4,RM,5'7,139lbs,45.3M
Adán,31,83,83,55K,1299,Left,2,2,1,GK,6'3,203lbs,31.8M
Rui Patrício,30,83,83,74K,1352,Left,3,2,1,GK,6'3,185lbs,31.4M
Y. Sommer,29,83,84,35K,1299,Right,3,4,1,GK,6'0,174lbs,35.5M
Javi Martínez,29,83,83,94K,1948,Right,3,3,2,CDM,6'4,190lbs,33M
L. Bender,29,83,83,82K,2049,Right,3,3,2,RB,6'1,179lbs,34M
Lucas Leiva,31,83,83,64K,2095,Right,3,3,3,LDM,5'10,172lbs,29.8M
S. Mandanda,33,83,83,51K,1218,Right,3,3,1,GK,6'1,181lbs,24.7M
Cesc Fàbregas,31,83,83,140K,2040,Right,4,3,3,CM,5'10,170lbs,40.7M
M. Dembélé,30,83,83,120K,2177,Left,3,2,4,CM,6'1,181lbs,44.4M
F. Ribéry,35,83,83,72K,1929,Right,4,4,5,LM,5'7,159lbs,19M
R. Jarstein,33,83,83,33K,1191,Right,2,4,1,GK,6'3,181lbs,22.1M
D. De Rossi,34,83,83,80K,2101,Right,3,4,2,RDM,6'0,183lbs,13.6M
Pepe Reina,35,83,83,56K,1299,Right,3,3,1,GK,6'2,203lbs,10.2M
J. Pavlenka,26,82,85,30K,1060,Right,1,3,1,GK,6'5,179lbs,34.6M
M. de Ligt,18,82,91,11K,1937,Right,2,4,2,RCB,6'2,196lbs,43.2M
Rodri,22,82,87,59K,2055,Right,1,3,4,CM,6'3,181lbs,61.6M
Arthur,21,82,90,125K,2120,Right,1,3,4,LCM,5'7,161lbs,73.1M
G. Donnarumma,19,82,93,23K,1278,Right,3,3,1,GK,6'5,198lbs,55.1M
Rosberto Dourado,30,82,82,46K,2061,Right,1,4,2,RCM,5'9,154lbs,31.4M
Juiano Mestres,34,82,82,39K,2003,Right,1,3,2,RCB,5'11,181lbs,12.4M
Raphaelito Anjos,30,82,82,32K,1191,Right,1,2,1,GK,6'3,187lbs,25.2M
Gelson Martins,23,82,87,59K,2023,Right,3,3,5,RM,5'8,159lbs,62.7M
Gonçalo Guedes,21,82,86,36K,2006,Right,1,3,4,LM,5'10,150lbs,63.1M
L. Torreira,22,82,87,98K,2111,Right,2,3,3,LCM,5'6,141lbs,49.4M
Malcom,21,82,89,140K,1984,Left,2,4,4,RW,5'8,163lbs,70.9M
Pau López,23,82,87,21K,1319,Left,1,3,1,GK,6'2,170lbs,46.8M
L. Hernández,22,82,88,53K,1953,Left,1,3,3,LB,6'0,168lbs,57.4M
C. Lenglet,23,82,88,135K,1775,Left,1,4,2,LCB,6'1,179lbs,58.5M
A. Kramarić,27,82,83,54K,2013,Right,2,4,4,LCM,5'10,161lbs,46.2M
A. Robertson,24,82,87,98K,2023,Left,1,2,3,LB,5'10,141lbs,48.4M
Dani García,28,82,83,33K,1940,Right,2,3,3,RCM,5'11,176lbs,43.5M
F. Bernardeschi,24,82,87,110K,2096,Left,2,3,5,RM,6'1,170lbs,50.9M
J. Brandt,22,82,88,68K,1905,Right,2,4,4,LM,6'1,185lbs,58M
D. Rugani,23,82,86,95K,1705,Right,2,3,2,CB,6'3,185lbs,42.3M
Samu Castillejo,23,82,86,94K,1968,Left,2,2,4,RM,6'0,148lbs,51.5M
João Cancelo,24,82,88,95K,2174,Right,2,3,4,RB,6'0,163lbs,47.2M
A. Romagnoli,23,82,89,84K,1750,Left,2,3,2,LCB,6'2,172lbs,50.4M
T. Partey,25,82,88,59K,2068,Right,1,3,3,CDM,6'1,170lbs,57.4M
Fred,25,82,84,140K,2180,Left,1,4,4,CM,5'7,141lbs,51M
J. Vardy,31,82,82,96K,2082,Right,3,3,3,ST,5'10,163lbs,38M
A. Belotti,24,82,87,58K,1962,Right,3,5,3,LS,5'11,159lbs,53.3M
E. Forsberg,26,82,83,67K,1936,Right,2,4,4,LM,5'10,163lbs,46.2M
J. Lingard,25,82,83,140K,2095,Right,2,3,4,CAM,5'9,137lbs,51M
F. Vázquez,29,82,82,27K,1969,Left,2,3,4,LCM,6'1,181lbs,45.2M
E. Višća,28,82,82,40K,2054,Right,2,4,4,RM,5'8,139lbs,42.8M
A. Rüdiger,25,82,84,110K,1843,Right,2,3,2,CB,6'3,187lbs,43.3M
A. Florenzi,27,82,83,73K,2253,Right,3,3,4,RB,5'8,148lbs,36.4M
H. Maguire,25,82,85,77K,1853,Right,1,3,2,LCB,6'4,220lbs,46.4M
T. Meunier,26,82,83,87K,2162,Right,2,4,3,RM,6'3,198lbs,40.4M
S. Sané,27,82,82,41K,1840,Right,2,3,3,CB,6'5,187lbs,31.5M
G. Kondogbia,25,82,85,46K,2171,Left,2,2,4,CM,6'2,176lbs,59.8M
Rafinha,25,82,87,165K,2091,Left,2,4,4,CAM,5'9,157lbs,62.7M
Gabriel Paulista,27,82,83,44K,1959,Right,2,2,2,LCB,6'2,174lbs,45.7M
Morata,25,82,85,135K,1886,Right,3,4,3,ST,6'2,187lbs,54.9M
J. Cillessen,29,82,84,135K,1292,Right,3,3,1,GK,6'1,183lbs,38.3M
W. Ben Yedder,27,82,82,28K,2042,Right,2,5,4,RS,5'7,150lbs,49.4M
C. Bakambu,27,82,83,33K,2010,Right,2,4,3,ST,6'0,161lbs,59.2M
Pablo Sarabia,26,82,83,26K,2027,Left,2,4,4,RCM,5'9,154lbs,56.6M
W. Zaha,25,82,85,78K,1930,Right,2,3,5,LS,5'11,146lbs,56.3M
Luis Alberto,25,82,85,67K,1941,Right,2,3,4,CF,6'0,163lbs,50.6M
Jonathan Viera,28,82,82,31K,2152,Right,2,4,4,LF,5'7,141lbs,49.5M
Bartra,27,82,83,32K,2032,Right,3,3,3,CB,6'0,161lbs,45.7M
S. Coates,27,82,83,19K,1714,Right,3,3,2,RCB,6'5,203lbs,43.6M
Willian José,26,82,83,44K,1945,Right,2,4,4,ST,6'2,205lbs,57.6M
Mário Fernandes,27,82,82,1K,2102,Right,2,3,3,RB,6'2,176lbs,40.7M
Víctor Ruiz,29,82,83,43K,1830,Left,2,2,2,LCB,6'1,172lbs,42.4M
T. Delaney,26,82,83,61K,2211,Left,2,4,3,LCM,6'0,174lbs,38.2M
K. Casteels,26,82,85,46K,1250,Left,2,2,1,GK,6'6,190lbs,34.6M
M. Götze,26,82,85,67K,2101,Right,4,4,4,CM,5'9,165lbs,47.9M
S. Mustafi,26,82,84,115K,1914,Right,3,3,2,RCB,6'0,181lbs,44.4M
J. Pastore,29,82,82,84K,2050,Right,3,4,4,CAM,6'2,172lbs,36.6M
Pedro,30,82,82,140K,1968,Right,3,5,4,RW,5'7,143lbs,38.9M
G. Bonaventura,28,82,82,115K,2207,Right,3,3,4,CM,5'11,165lbs,37.4M
R. Bürki,27,82,85,50K,1245,Right,3,2,1,GK,6'2,187lbs,32.8M
Taison,30,82,82,1K,2055,Right,2,3,4,LM,5'8,141lbs,44.1M
S. Nzonzi,29,82,82,77K,2006,Right,2,3,2,CDM,6'5,165lbs,28.9M
Marlos,30,82,82,1K,2075,Left,2,4,5,RM,5'9,152lbs,44.1M
A. Ramsey,27,82,83,130K,2110,Right,3,3,3,CAM,6'0,168lbs,49.4M
K. Trippier,27,82,82,99K,2161,Right,2,4,3,RB,5'10,159lbs,34.2M
A. Kolarov,32,82,82,73K,2230,Left,2,3,3,LB,6'2,183lbs,21.3M
G. Sigurðsson,28,82,82,125K,2096,Right,3,5,3,CAM,6'1,181lbs,42.8M
S. Giovinco,31,82,82,15K,1957,Right,2,4,4,CF,5'4,134lbs,30M
M. Arnautović,29,82,82,120K,2106,Right,3,4,4,LS,6'4,183lbs,41.8M
N. Gaitán,30,82,82,22K,2010,Left,3,2,4,CAM,5'8,146lbs,45.2M
J. Henderson,28,82,82,125K,2163,Right,2,3,3,RCM,6'0,176lbs,34.2M
M. Kruse,30,82,82,45K,2063,Left,2,4,4,ST,5'11,168lbs,36.6M
M. Parolo,33,82,82,59K,2151,Right,2,4,3,RDM,6'0,165lbs,15.3M
L. Fejsa,29,82,82,18K,1945,Right,2,3,2,CDM,6'0,176lbs,34M
A. Rami,32,82,82,57K,1793,Right,3,3,2,RCB,6'3,198lbs,23.8M
V. Ćorluka,32,82,82,1K,1909,Right,3,3,3,LCB,6'4,185lbs,26.3M
G. Wijnaldum,27,82,82,130K,2175,Right,3,3,4,CAM,5'9,152lbs,43.7M
F. Fazio,31,82,82,73K,1633,Right,3,2,2,LCB,6'5,187lbs,25.5M
O. Giroud,31,82,82,140K,1927,Left,3,3,3,ST,6'4,203lbs,37M
